,0
0,Arizona
1,Connecticut
2,Georgia
3,Indiana
4,Iowa
5,Kentucky
6,Louisiana
7,Massachusetts
8,Mississippi
9,North Carolina
10,Ohio
11,South Carolina
12,Vermont
13,West Virginia
